page,name
187,swordmaster ardent
188,assassin
189,axehound
190,bandit
191,brightlord
192,chasmfiend
194,chull
195,commoner
196,expert
196,socialite
197,cremling swarm
198,thief
199,crime boss
200,Dustbringer of the Second Ideal
202,Dustbringer of the Third Ideal
203,Dustbringer of the Fourth Ideal
205,Altered One
207,Deepest One
209,Devastating One
211,Flowing One
213,Focused One
215,Heavenly One
217,Husked One
219,Magnified One
221,Masked One
222,Ghostblood spy
223,Ghostblood enforcer
224,guard
225,khornak
226,larkin
227,greater larkin
229,Midnight Essence
231,direform Regal
232,nightform Regal
233,stormform Regal
235,Ryshadium
237,servant of Yelig-Nar
239,angerspren
239,painspren
241,duelist Shardbearer
242,elite Shardbearer
243,shellmite
245,nimbleform singer
245,warform singer
247,Skybreaker of the Second Ideal
248,Skybreaker of the Fourth Ideal
251,Sleepless
254,archer
255,spear infantry
255,Thrill berserker
257,Soulcaster savant
258,Windrunner squire
261,thunderclast
262,whitespine
265,yu-nerig
